1111,Loop Burger,381,24,0,9,124,110,2,1,1,36,0,0,0,0,0
1112,Pesto Chikcen Ciabatta,656,32,0,13,112,1826,44,3,3,44,0,0,0,0,0
1113,Salmon,307,21,0,4,84,717,0,0,0,28,0,0,0,0,0
1114,Black Bean Burger,152,5,0,1,0,418,15,6,3,13,0,0,0,0,0
1115,Grilled Veggie Ciabatta,419,16,0,7,30,1364,47,3,4,16,0,0,0,0,0
1116,Portobello Mushroom Sandwich,118,6,0,1,0,2012,13,4,4,4,0,0,0,0,0
1117,Feta Mediterranean Salad,187,8,0,3,15,959,18,6,5,10,0,0,0,0,0
1118,Chili Soup Bowl,487,29,0,12,98,1343,21,7,4,33,0,0,0,0,0
1119,Tomato Bisque Bowl,494,13,0,3,13,2784,78,5,16,17,0,0,0,0,0
1120,French Fries,237,12,2,2,0,33,32,3,0,3,0,0,0,0,0
1121,Steamed Broccoli,84,5,0,1,0,318,6,2,2,3,0,0,0,0,0
1122,Cajun Chicken Salad,179,2,0,0,58,582,13,5,4,27,0,0,0,0,0
1123,Garden Salad,103,1,0,0,0,112,19,7,7,6,0,0,0,0,0
1124,Loop Chips,171,8,1,1,0,1032,23,3,0,3,0,0,0,0,0
1125,Fruit Salad,75,0,0,0,0,18,20,1,19,0,0,0,0,0,0
1126,Vanilla Milk shake,802,44,0,29,148,410,98,0,70,15,0,0,0,0,0
1127,Chicken Ceasar Wrap,310,24,0,6,49,717,3,1,1,20,0,0,0,0,0
1128,Chow Mein,510,22,0,4,0,980,65,4,9,13,0,0,0,0,0
1129,Fried Rice,520,16,0,3,120,850,85,1,3,11,0,0,0,0,0
1130,Orange Chicken,380,18,0,4,80,750,45,0,19,14,0,0,0,0,0
1131,General Tso's Chicken,330,12,0,2,45,910,37,3,15,19,0,0,0,0,0
1132,Teriyaki Chicken,200,8,0,2,115,380,8,2,6,25,0,0,0,0,0
1133,Beijing Beef,350,20,0,4,20,490,34,1,18,10,0,0,0,0,0
1134,Broccoli Beef,110,6,0,1,10,400,10,2,5,7,0,0,0,0,0
1135,Honey Walnut Shrimp,200,13,0,2,55,240,14,1,5,7,0,0,0,0,0
1136,Chicken Egg Roll,200,10,0,2,20,340,20,2,2,6,0,0,0,0,0
1137,Vegetable Spring Roll,190,8,0,2,0,520,27,2,3,3,0,0,0,0,0
1138,Mixed Veggies,35,0,0,0,0,280,8,3,2,2,0,0,0,0,0
1139,Kung Pao Chicken,200,14,0,3,40,690,10,2,6,16,0,0,0,0,0
1140,Southwest Chicken Salad,350,14,0,2,50,580,35,10,8,24,0,0,0,0,0
1141,Harvest Turkey Salad,390,15,0,4,75,790,35,6,25,30,0,0,0,0,0
1142,Chicken Cobb with Avacado Salad,440,26,0,10,270,1180,15,6,6,38,0,0,0,0,0
1143,Southwest Vinaigrette,160,17,0,3,0,480,3,0,2,0,0,0,0,0,0
1144,Turkey Club,610,24,0,10,110,1630,53,2,5,42,0,0,0,0,0
1145,Chipotle Black Bean Burger with Avocado Sandwich ,660,26,0,6,25,1270,82,11,14,28,0,0,0,0,0
1146,Newport Turkey Sandwich,730,29,0,11,100,1450,76,5,24,41,0,0,0,0,0
1147,Black Angus Roast Beef and Cheddar Sandwich,570,21,0,9,70,1400,61,8,8,37,0,0,0,0,0
1148,Chicken Noodle Soup (Medium),120,3,0,1,30,1030,15,1,3,8,0,0,0,0,0
1149,"Clam Chowder (Medium)
",359,20,0,8,55,1120,32,2,9,11,0,0,0,0,0
1150,Chocolate Chip Cookie,370,18,0,11,45,120,54,2,35,3,0,0,0,0,0
1151,Blueberry Muffin,490,19,0,3,15,530,73,3,33,9,0,0,0,0,0
1152,Chai Latte (Medium),210,7,0,4,20,90,30,0,30,7,0,0,0,0,0
1153,Vanilla Latte (Medium),240,7,0,4,20,105,37,0,35,7,0,0,0,0,0
1154,2 Eggs on a Bagel with Ham,470,12,0,5,355,1000,59,2,5,29,0,0,0,0,0
1155,"Warm Chicken Avocado Sandwich
",660,28,0,6,95,1300,61,5,2,39,0,0,0,0,0
1156,Thai Peanut Chicken Wrap,530,17,0,5,40,1090,72,5,15,24,0,0,0,0,0
1157,Vegetarian Deluxe Salad,270,13,0,5,25,720,29,9,8,13,0,0,0,0,0
1158,"Balsamic Vinaigrette Dressing
",110,9,0,2,0,360,7,0,6,0,0,0,0,0,0
1159,Avocado Greek Yogurt Dressing,190,18,0,3,20,370,4,0,2,1,0,0,0,0,0
1160,"Lite Citrus Lime Vinaigrette
",150,12,0,2,0,350,10,0,6,0,0,0,0,0,0
1161,Big Mac,530,27,1,10,85,960,47,3,9,24,6,2,0,25,25
1162,Quarter Pounder with Cheese,520,26,2,12,95,1100,41,3,10,30,10,2,0,30,25
1163,Cheeseburger,290,11,1,5,45,680,33,2,7,15,6,2,0,20,15
1164,McChicken,360,16,0,3,35,800,40,2,5,14,0,2,0,10,15
1165,Filet-O-Fish,390,19,0,4,40,590,39,2,5,15,2,0,0,15,10
1166,10 Chicken Nugget,470,30,0,5,65,900,30,2,0,22,0,4,0,2,6
1167,"Bacon, Egg & Cheese McGriddles",460,21,0,9,250,1250,48,2,15,19,10,10,0,20,15
1168,Hash Brown,150,9,0,2,0,310,15,2,0,1,0,2,0,0,2
1169,Medium French Fries,340,16,0,3,0,190,44,4,0,4,0,45,0,2,4
1170,Medium Sweet Tea,180,0,0,0,0,10,45,0,45,1,0,0,0,0,0
1171,Medium Hot Chocolate,440,16,1,9,50,220,61,1,56,14,15,0,0,45,6
1172,Medum McFlurry with Oreos,690,23,1,12,55,380,106,1,85,15,20,0,0,50,10
1173,Naan,137,5,0,3,13,142,19,1,1,3,3,0,0,2,6
1174,Garlic Naan,385,8,0,0,0,600,65,3,0,12,0,0,0,0,0
